EmployeeID,FirstName,LastName,Email,Department,Salary,LastModifiedDate
2352,Nicholas,Mathews,nicholas.mathews@example.com,Finance,56718.94,2025-07-14 12:23:16.710
2353,Kevin,Murray,kevin.murray@example.com,Finance,74371.81,2025-07-14 12:23:16.713
2354,Patricia,Brooks,patricia.brooks@example.com,Operations,85146.11,2025-07-14 12:23:16.717
2355,Krystal,Davis,krystal.davis@example.com,HR,60008.09,2025-07-14 12:23:16.720
2356,Kara,Sanders,kara.sanders@example.com,HR,74373.91,2025-07-14 12:23:16.727
2357,Mary,Edwards,mary.edwards@example.com,Finance,33569.77,2025-07-14 12:23:16.730
2358,Amy,Martinez,amy.martinez@example.com,Marketing,72319.73,2025-07-14 12:23:16.777
2359,William,Shaw,william.shaw@example.com,Finance,36433.09,2025-07-14 12:23:16.780
2360,Nicholas,Kelly,nicholas.kelly@example.com,IT,85762.92,2025-07-14 12:23:16.783
2361,Kendra,Schaefer,kendra.schaefer@example.com,Finance,58791.95,2025-07-14 12:23:16.787
